,Property Type:,Bedrooms:,Bathrooms/WCs:,Floor area:,No. of floors:,Car parking spaces:,Area of land:,Availability:,Nearest bus stop:,Nearest train station:,Price,Location
0,House,3,,1500 sq.ft.,,,6 perches,"
Available now ",,,Rs. 35M     ,Rajagiriya
1,House,5,5.0,,2.0,2.0,20 perches,"
Available now ",,,Rs. 300M     ,Colombo 5
2,House,4,3.0,2750 sq.ft.,2.0,1.0,8 perches,"
Available now ",,,Rs. 70M     ,Colombo 5
3,House,4,3.0,3200 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,Rs. 210M     ,Colombo 3
4,House,5,5.0,5200 sq.ft.,3.0,6.0,153 perches,"
Available now ",,,Rs. 70M     ,Padukka
5,House,5,3.0,1800 sq.ft.,2.0,2.0,9.15 perches,"
Available now ",200m,2km,Rs. 26.5M ONO   ,Maharagama
6,House,5,4.0,7500 sq.ft.,,,40 perches,"
Available now ",,,Rs. 800M     ,Colombo 7
7,House,3,4.0,1850 sq.ft.,2.0,2.0,12.5 perches,"
Available now ",,,Rs. 21.5M     ,Bandaragama
8,House,3,,,2.0,,,"
Available soon ",,,Rs. 28.5M upwards   ,Negombo
9,House,3,3.0,2517 sq.ft.,2.0,2.0,6.70 perches,"
For Urgent Sale ",200m,7km,Rs. 36.85M     ,Boralesgamuwa
10,House,3,2.0,1365 sq.ft.,2.0,2.0,6.5 perches,"
Available soon ",950m,,Rs. 20.1M upwards   ,Kahatuduwa
11,House,above 5,,,,2.0,21 perches,"
Available now ",,,Rs. 65M ONO   ,Malabe
12,House,5,4.0,4000 sq.ft.,,,12.5 perches,"
Available now ",,,Rs. 65M     ,Malabe
13,House,3,3.0,1900 sq.ft.,2.0,2.0,6.60 perches,"
Available soon ",300m,3km,Rs. 33.5M upwards   ,Dalugama
14,House,4,5.0,4300 sq.ft.,2.0,6.0,92 perches,"
Available now ",,,Rs. 150M     ,Maharagama
15,House,4,4.0,4200 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,Rs. 49.5M ONO   ,Thalawathugoda
16,House,3,2.0,1600 sq.ft.,1.0,2.0,6 perches,"
Available now ",,,Rs. 30M ONO   ,Rajagiriya
17,House,3,2.0,2000 sq.ft.,1.0,2.0,10 perches,"
Available now ",400m,,Rs. 21M     ,Boralesgamuwa
18,House,4,3.0,2500 sq.ft.,2.0,2.0,8 perches,"
Available now ",1km,4km,Rs. 22M ONO   ,Moratuwa
19,House,4,4.0,4200 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,Rs. 49.5M     ,Thalawathugoda
20,House,4,2.0,2200 sq.ft.,2.0,6.0,43 perches,"
Available now ",100m,2km,Rs. 22.5M ONO   ,Kurunegala
21,House,5,4.0,10000 sq.ft.,3.0,6.0,52 perches,"
Available now ",,,Rs. 95M     ,Thalahena
22,House,above 5,5.0,10000 sq.ft.,3.0,6.0,51 perches,"
Available now ",,,    ,Colombo 3
23,House,3,2.0,3300 sq.ft.,3.0,2.0,7 perches,"
Available now ",,,Rs. 40M approx   ,Thalawathugoda
24,House,above 5,9.0,7758 sq.ft.,4.0,3.0,106.6 perches,"
Available now ",1km,,Rs. 165M     ,Pamunugama
25,House,4,3.0,2900 sq.ft.,2.0,2.0,8.1 perches,"
Available now ",,,Rs. 43M     ,Thalawathugoda
26,House,5,4.0,4000 sq.ft.,2.0,2.0,12.5 perches,"
Available now ",,5km,Rs. 65M ONO   ,Malabe
27,House,4,3.0,2700 sq.ft.,,2.0,11.5 perches,"
Available now ",300km,,Rs. 66M ONO   ,Mirihana
28,House,5,3.0,3000 sq.ft.,7.0,2.0,10 perches,"
Available now ",10m,200m,Rs. 24.8M ONO   ,Homagama
29,House,3,2.0,1700 sq.ft.,2.0,1.0,7 perches,"
Available now ",,,Rs. 15M     ,Athurugiriya
30,House,5,4.0,3750 sq.ft.,3.0,2.0,8 perches,"
Available now ",1.7km,4km,Rs. 17M ONO   ,Moratuwa
31,House,4,3.0,3000 sq.ft.,2.0,2.0,12.06 perches,"
Available now ",500m,,Rs. 65M     ,Attidiya
32,House,4,3.0,3200 sq.ft.,3.0,3.0,7.4 perches,"
Available now ",,,Rs. 95M     ,Colombo 5
33,House,above 5,3.0,4000 sq.ft.,,,,"
Available now ",,,Rs. 37M     ,Mattegoda
34,House,4,3.0,4000 sq.ft.,3.0,2.0,10 perches,"
Available now ",0.2km,7km,Rs. 38M ONO   ,Piliyandala
35,House,4,3.0,,,,,"
Available now ",,,Rs. 105M     ,Thalawathugoda
36,House,above 5,8.0,4500 sq.ft.,2.0,6.0,123 perches,"
Available now ",1km,3km,Rs. 40M     ,Marawila
37,House,above 5,6.0,4000 sq.ft.,2.0,5.0,10.3 perches,"
Available now ",100m,,Rs. 65M     ,Kolonnawa
38,House,4,2.0,2200 sq.ft.,2.0,6.0,10.80 perches,"
For Urgent Sale ",200m,,Rs. 54M ONO   ,Dehiwala
39,House,above 5,,,,,,"
Available now ",,,    ,Colombo 7
40,House,above 5,5.0,14000 sq.ft.,3.0,,24 perches,"
Available now ",,,Rs. 180M     ,Palanwaththa
41,House,4,4.0,3000 sq.ft.,2.0,6.0,13 perches,"
Available now ",50m,500m,Rs. 39M ONO   ,Maharagama
42,House,4,3.0,1950 sq.ft.,2.0,3.0,7 perches,"
Available now ",,,Rs. 18.5M ONO   ,Kottawa
43,House,4,3.0,3000 sq.ft.,2.0,2.0,60 perches,"
Available now ",,,Rs. 25M     ,Kaduwela
44,House,3,1.0,1000 sq.ft.,,,16.5 perches,"
Available now ",,,Rs. 9.57M approx   ,Makola
45,House,above 5,6.0,2000 sq.ft.,2.0,5.0,64 perches,"
Available now ",400m,1km,Rs. 50M ONO   ,Ahungalla
46,House,3,2.0,,1.0,3.0,11.4 perches,"
Available now ",,,Rs. 35M ONO   ,Kalubowila
47,House,5,3.0,3000 sq.ft.,2.0,,13 perches,"
Available now ",,,Rs. 26M     ,Kiribathgoda
48,House,5,5.0,,,,,"
Available now ",,,Rs. 75M     ,Kandy
49,House,3,1.0,1000 sq.ft.,1.0,6.0,30.1 perches,"
Available now ",20m,,Rs. 6.8M ONO   ,Ratnapura
50,House,5,3.0,4000 sq.ft.,2.0,3.0,28 perches,"
Available now ",600m,2km,Rs. 55M ONO   ,Negombo
51,House,3,3.0,4500 sq.ft.,3.0,2.0,11 perches,"
Available now ",1km,1km,Rs. 100M ONO   ,Colombo 5
52,House,5,4.0,5500 sq.ft.,2.0,4.0,27 perches,"
Available now ",,,Rs. 124M ONO   ,Battaramulla
53,House,4,4.0,2500 sq.ft.,1.0,2.0,38 perches,"
Available now ",,,Rs. 1.85M ONO   ,Kiribathgoda
54,House,5,3.0,3000 sq.ft.,2.0,2.0,10 perches,"
Price Reduced! ",,,Rs. 110M ONO   ,Colombo 5
55,House,4,3.0,3000 sq.ft.,2.0,2.0,10 perches,"
For Urgent Sale ",,,Rs. 37.5M ONO   ,Pita Kotte
56,House,above 5,5.0,5000 sq.ft.,2.0,6.0,20 perches,"
Price Reduced! ",,1km,Rs. 230M ONO   ,Colombo 5
57,House,4,5.0,4000 sq.ft.,2.0,4.0,38 perches,"
For Urgent Sale ",,,Rs. 380M ONO   ,Colombo 8
58,House,5,,,,3.0,7.8 perches,"
For Urgent Sale ",,,Rs. 98M ONO   ,Colombo 5
59,House,5,4.0,,3.0,3.0,11 perches,"
For Urgent Sale ",,,Rs. 42.5M ONO   ,Thalawathugoda
60,House,5,3.0,3000 sq.ft.,2.0,2.0,10 perches,"
For Urgent Sale ",,,Rs. 120M ONO   ,Colombo 5
61,House,4,3.0,4700 sq.ft.,2.0,2.0,29.26 perches,"
Available now ",,,Rs. 195M ONO   ,Colombo 5
62,House,5,5.0,,3.0,,12 perches,"
Available now ",,,Rs. 225M     ,Colombo 8
63,House,4,3.0,,2.0,2.0,10 perches,"
Available now ",,,Rs. 49.5M ONO   ,Thalawathugoda
64,House,5,6.0,10300 sq.ft.,3.0,4.0,30 perches,"
For Urgent Sale ",,,Rs. 215M ONO   ,Thalawathugoda
65,House,5,5.0,4800 sq.ft.,3.0,3.0,15 perches,"
Available now ",,,Rs. 145M ONO   ,Nugegoda
66,House,5,4.0,4800 sq.ft.,2.0,4.0,26.7 perches,"
For Urgent Sale ",,,Rs. 120M ONO   ,Battaramulla
67,House,4,3.0,4500 sq.ft.,2.0,2.0,9.8 perches,"
Available now ",,,Rs. 80M     ,Koswatta
68,House,4,4.0,3500 sq.ft.,2.0,4.0,10 perches,"
Available now ",,,Rs. 95M ONO   ,Ethul Kotte
69,House,4,1.0,4500 sq.ft.,1.0,3.0,31 perches,"
Available now ",200km,1km,Rs. 33M     ,Negombo
70,House,4,1.0,1750 sq.ft.,1.0,4.0,21 perches,"
Available now ",,,Rs. 48.3M     ,Thalawathugoda
71,House,4,3.0,4500 sq.ft.,2.0,2.0,9.8 perches,"
Available now ",,,Rs. 80M     ,Koswatta
72,House,5,5.0,4600 sq.ft.,4.0,3.0,8.5 perches,"
Available now ",,,Rs. 165M     ,Colombo 5
73,House,2,1.0,,,,,"
Available now ",,,Rs. 6.2M ONO   ,Delkanda
74,House,4,2.0,1895 sq.ft.,2.0,,10.6 perches,"
Available now ",,,Rs. 23M ONO   ,Kandana
75,House,3,2.0,2200 sq.ft.,,3.0,7.3 perches,"
Available now ",,,Rs. 75M     ,Colombo 6
76,House,3,2.0,3000 sq.ft.,,4.0,22.7 perches,"
Available now ",,,Rs. 40M     ,Negombo
77,House,2,1.0,,,1.0,,"
Available now ",400m,,Rs. 4.3M     ,Wattala
78,House,3,,,1.0,1.0,120 perches,"
Available now ",200m,01km,Rs. 8M     ,Habarana
79,House,3,1.0,1800 sq.ft.,,2.0,6.2 perches,"
Available now ",,,Rs. 25M     ,Dehiwala
80,House,2,1.0,,,,,"
Available now ",1km,,Rs. 3.3M     ,Kadana
81,House,3,1.0,,,2.0,,"
Available now ",400m,,Rs. 13M     ,Kadana
82,House,4,3.0,,,3.0,,"
Available now ",350m,,Rs. 27.5M     ,Wattala
83,House,4,4.0,3700 sq.ft.,,,,"
Available now ",,,Rs. 51M     ,Thalawathugoda
84,House,3,2.0,1600 sq.ft.,1.0,2.0,6 perches,"
Available now ",,,Rs. 30M ONO   ,Rajagiriya
85,House,4,4.0,11000 sq.ft.,,2.0,19 perches,"
Available now ",1km,,Rs. 100M ONO   ,Akuregoda
86,House,3,3.0,2000 sq.ft.,2.0,2.0,6 perches,"
Available now ",,,Rs. 28.5M approx   ,Koswatta
87,House,4,2.0,,,3.0,,"
Available now ",600m,,Rs. 17.5M     ,Kadana
88,House,above 5,5.0,,,5.0,27 perches,"
Available now ",,,Rs. 435.66M     ,Colombo 5
89,House,4,4.0,3500 sq.ft.,2.0,2.0,10 perches,"
Available now ",400m,,Rs. 49.5M ONO   ,Thalawathugoda
90,House,5,3.0,3500 sq.ft.,,,10 perches,"
Available now ",,,Rs. 27M     ,Kottawa
91,House,4,2.0,2500 sq.ft.,,,6 perches,"
Available now ",,,Rs. 22.5M     ,Nugegoda
92,House,4,3.0,,,2.0,10.5 perches,"
Available now ",,,Rs. 25M ONO   ,Malabe
93,House,3,2.0,1200 sq.ft.,,,,"
Available now ",,,Rs. 13.5M     ,Ampara
94,House,4,4.0,5000 sq.ft.,2.0,6.0,97 perches,"
Available now ",,,Rs. 130M     ,Makuluduwa
95,House,3,4.0,1218 sq.ft.,3.0,1.0,,"
For Urgent Sale ",,,Rs. 17.8M ONO   ,Ja Ela
96,House,above 5,6.0,5000 sq.ft.,4.0,6.0,18 perches,"
Available now ",1km,1km,Rs. 80M     ,Kandy
97,House,4,,,2.0,4.0,23.5 perches,"
Available now ",,,Rs. 423M ONO   ,Colombo 7
98,House,4,3.0,3000 sq.ft.,2.0,4.0,26.3 perches,"
Available now ",,,Rs. 280M     ,Colombo 5
99,House,2,1.0,1075 sq.ft.,1.0,1.0,10 perches,"
Available now ",,,Rs. 13M     ,Galle
100,House,3,2.0,,2.0,2.0,6 perches,"
Available now ",100m,1m,Rs. 12M     ,Ragama
101,House,3,2.0,800 sq.ft.,,2.0,6 perches,"
Available now ",,,Rs. 14M ONO   ,Wattala
102,House,above 5,6.0,7125 sq.ft.,3.0,6.0,10 perches,"
Available now ",100km,2km,Rs. 115M approx   ,Mount Lavinia
103,House,4,3.0,3000 sq.ft.,2.0,3.0,15 perches,"
Available now ",,,Rs. 85M     ,Nawala
104,House,4,3.0,2650 sq.ft.,2.0,3.0,9.77 perches,"
Available now ",50m,,Rs. 45M     ,Kalapaluwawa
105,House,5,3.0,3600 sq.ft.,2.0,2.0,8 perches,"
Available now ",750m,,Rs. 35M     ,Malabe
106,House,5,5.0,7000 sq.ft.,,3.0,13 perches,"
Available now ",,,Rs. 215M     ,Colombo 8
107,House,4,4.0,3000 sq.ft.,,2.0,26 perches,"
Available now ",,,Rs. 286M     ,Colombo 5
108,House,5,5.0,4600 sq.ft.,,3.0,8.5 perches,"
Available now ",,,Rs. 165M     ,Colombo 5
109,House,3,3.0,2500 sq.ft.,,,57 perches,"
Available now ",,,Rs. 338M     ,Colombo 8
110,House,3,3.0,4400 sq.ft.,,2.0,19 perches,"
Available now ",,,Rs. 290M     ,Colombo 7
111,House,4,3.0,2000 sq.ft.,2.0,2.0,17 perches,"
Available now ",,,Rs. 45M ONO   ,Kandy
112,House,3,1.0,1400 sq.ft.,1.0,2.0,12.5 perches,"
Available now ",0.1km,1km,Rs. 31M     ,Battaramulla
113,House,4,2.0,4000 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,    ,Maharagama
114,House,4,3.0,,2.0,1.0,16 perches,"
Available now ",,,Rs. 37M     ,Negombo
115,House,4,3.0,,2.0,3.0,10 perches,"
Available now ",1km,2km,Rs. 42M ONO   ,Boralesgamuwa
116,House,3,4.0,3600 sq.ft.,2.0,2.0,9.41 perches,"
Available now ",50m,50m,Rs. 37M     ,Pita Kotte
117,House,4,1.0,,,,27 perches,"
Available now ",,,Rs. 11.94M     ,Talpe
118,House,3,1.0,,,,18 perches,"
Available now ",,,Rs. 9M     ,Ahangama
119,House,above 5,3.0,4000 sq.ft.,2.0,6.0,19 perches,"
Price Reduced! ",300m,,Rs. 32.5M ONO   ,Koswatta
120,House,4,,,,,39 perches,"
Available now ",,,Rs. 18.7M ONO   ,Katunayake
121,House,5,3.0,2800 sq.ft.,3.0,2.0,7 perches,"
Available now ",500m,,Rs. 28.5M     ,Athurugiriya
122,House,above 5,,,,,,"
Available now ",,,Rs. 65M     ,Malabe
123,House,5,3.0,2900 sq.ft.,2.0,,8.75 perches,"
Available now ",,,Rs. 38M ONO   ,Rajagiriya
124,House,5,3.0,3200 sq.ft.,2.0,2.0,11.7 perches,"
Available now ",200m,5km,Rs. 63M     ,Pita Kotte
125,House,above 5,5.0,3500 sq.ft.,2.0,4.0,15 perches,"
Available now ",20m,20m,    ,Colombo 8
126,House,2,2.0,1000 sq.ft.,2.0,1.0,,"
Available now ",175m,1km,Rs. 19.5M     ,Nugegoda
127,House,4,3.0,2400 sq.ft.,2.0,,7 perches,"
Available now ",,,Rs. 30.5M     ,Battaramulla
128,House,4,2.0,2800 sq.ft.,2.0,1.0,24.7 perches,"
Available now ",,,Rs. 26M     ,Kandy
129,House,4,4.0,2800 sq.ft.,2.0,3.0,20 perches,"
Available now ",,,Rs. 23.5M     ,Kandy
130,House,3,1.0,1400 sq.ft.,1.0,3.0,34.5 perches,"
Available now ",,,Rs. 30M     ,Kandy
131,House,3,2.0,1600 sq.ft.,2.0,1.0,10 perches,"
Available now ",150km,5km,Rs. 13.7M ONO   ,Kandy
132,House,above 5,5.0,2800 sq.ft.,3.0,2.0,6 perches,"
Available now ",500m,3km,Rs. 55M     ,Dehiwala
133,House,above 5,5.0,,2.0,5.0,40 perches,"
For Urgent Sale ",500m,2km,Rs. 135M     ,Dehiwala
134,House,above 5,6.0,6000 sq.ft.,3.0,5.0,23 Perches ,"
Available now ",,,Rs. 97.5M ONO   ,Thalahena
135,House,above 5,7.0,10900 sq.ft.,3.0,6.0,122.5 perches,"
Available now ",,,Rs. 500M approx   ,Thalawathugoda
136,House,4,3.0,3000 sq.ft.,2.0,2.0,17.12 perches,"
Available now ",,,Rs. 335M approx   ,Colombo 7
137,House,4,3.0,2750 sq.ft.,2.0,1.0,10.1 perches,"
Available soon ",,,Rs. 220M ONO   ,Colombo 3
138,House,3,1.0,1190 sq.ft.,1.0,1.0,10.5 perches,"
Available now ",,,Rs. 16.5M ONO   ,Malabe
139,House,5,4.0,4000 sq.ft.,3.0,2.0,10 perches,"
Available now ",,,Rs. 48.5M ONO   ,Malabe
140,House,4,3.0,2900 sq.ft.,2.0,2.0,20.5 perches,"
Available now ",,,Rs. 48.5M ONO   ,Battaramulla
141,House,4,2.0,,2.0,2.0,8 perches,"
Available now ",,,Rs. 44M     ,Thalawathugoda
142,House,5,4.0,5000 sq.ft.,3.0,2.0,13 perches,"
Available now ",,,Rs. 88.5M ONO   ,Battaramulla
143,House,3,2.0,2700 sq.ft.,2.0,2.0,15 perches,"
Available now ",,,Rs. 32M ONO   ,Thalawathugoda
144,House,5,3.0,2122 sq.ft.,2.0,1.0,8 perches,"
Available now ",,,Rs. 42M ONO   ,Dehiwala
145,House,3,2.0,2817 sq.ft.,2.0,2.0,10.4 perches,"
Available now ",,,Rs. 98M ONO   ,Colombo 8
146,House,4,3.0,3500 sq.ft.,3.0,2.0,7.7 perches,"
Available now ",,,Rs. 44M ONO   ,Battaramulla
147,House,4,,,,,,"
Available now ",,,Rs. 200M     ,Colombo 7
148,House,4,4.0,,,,,"
Available now ",,,Rs. 120M     ,Colombo 5
149,House,5,5.0,10000 sq.ft.,,,448 perches,"
Available now ",,,Rs. 150M     ,Avissawella
150,House,5,5.0,9600 sq.ft.,,,73 perches,"
Available now ",,,Rs. 565.43M     ,Nawala
151,House,5,3.0,4500 sq.ft.,,2.0,9.5 perches,"
Available now ",,,Rs. 80M     ,Nawala
152,House,above 5,6.0,,,,10 perches,"
Available now ",,,Rs. 49M     ,Koswatta
153,House,above 5,2.0,,,,17.3 perches,"
Available now ",,,Rs. 250.85M     ,Colombo 7
154,House,above 5,8.0,6000 sq.ft.,3.0,3.0,18 perches,"
For Urgent Sale ",10m,5km,Rs. 58M ONO   ,Galle
155,House,4,3.0,4100 sq.ft.,2.0,2.0,6 perches,"
Available now ",200m,3km,Rs. 55M ONO   ,Mount Lavinia
156,House,3,3.0,1450 sq.ft.,1.0,2.0,8 perches,"
Available now ",200m,,Rs. 15M     ,Athurugiriya
157,House,3,2.0,1350 sq.ft.,1.0,2.0,12.5 perches,"
Available now ",800m,,Rs. 6M     ,Gampaha
158,House,4,5.0,4500 sq.ft.,3.0,3.0,10 perches,"
Available now ",,,Rs. 195M     ,Colombo 5
159,House,5,5.0,3500 sq.ft.,2.0,3.0,13.5 perches,"
Available now ",,,Rs. 95M     ,Battaramulla
160,House,4,2.0,1400 sq.ft.,,,14 perches,"
Available now ",,,Rs. 13M     ,Kottawa
161,House,5,3.0,4000 sq.ft.,2.0,6.0,20 perches,"
Available now ",200m,,Rs. 29.5M     ,Panadura
162,House,above 5,3.0,,,2.0,11.7 perches,"
Available now ",,,Rs. 62.5M ONO   ,Ethul Kotte
163,House,4,2.0,2300 sq.ft.,,2.0,12.6 perches,"
Available now ",,,Rs. 34M     ,Piliyandala
164,House,4,2.0,,,3.0,12.85 perches,"
Available now ",,,Rs. 38M     ,Athurugiriya
165,House,4,4.0,11500 sq.ft.,2.0,5.0,126 perches,"
Available now ",,,Rs. 450M     ,Nuwara Eliya
166,House,4,3.0,3500 sq.ft.,,2.0,,"
Available now ",,,Rs. 69M     ,Nawala
167,House,4,3.0,3200 sq.ft.,3.0,2.0,8 perches,"
Available now ",,,Rs. 60M     ,Nawala
168,House,above 5,5.0,,,,100 perches,"
Available now ",,,Rs. 170M ONO   ,Gampaha
169,House,3,3.0,1200 sq.ft.,,,7.5 perches,"
Available now ",,,Rs. 18.5M     ,Malabe
170,House,5,3.0,7500 sq.ft.,3.0,,56 perches,"
For Urgent Sale ",,,Rs. 200M     ,Battaramulla
171,House,3,1.0,,2.0,2.0,20 perches,"
Available now ",1km,2.3km,Rs. 26M ONO   ,Pannipitiya
172,House,above 5,,,,,22 perches,"
Available now ",100m,,Rs. 3.2M     ,Nugegoda
173,House,4,5.0,5000 sq.ft.,2.0,3.0,25 perches,"
Available now ",,,Rs. 150M     ,Thalawathugoda
174,House,5,4.0,5000 sq.ft.,3.0,6.0,50 perches,"
Available now ",,,Rs. 100M ONO   ,Sapugaskanda
175,House,3,2.0,1968 sq.ft.,2.0,2.0,9.5 perches,"
Available now ",,1km,Rs. 17.5M     ,Ragama
176,House,3,2.0,1200 sq.ft.,,,,"
Available now ",,,Rs. 18.5M     ,Kandy
177,House,3,2.0,1200 sq.ft.,,,,"
Available now ",,,Rs. 17.85M     ,Rathmalana
178,House,4,5.0,3500 sq.ft.,2.0,3.0,15 perches,"
Available now ",100m,,Rs. 55M ONO   ,Nugegoda
179,House,4,4.0,3000 sq.ft.,,,240 perches,"
Available now ",100m,,Rs. 32M ONO   ,Negombo
180,House,3,3.0,,2.0,,15 perches,"
Available now ",200m,,Rs. 45M ONO   ,Moratuwa
181,House,above 5,4.0,3000 sq.ft.,2.0,2.0,9 perches,"
Available now ",200m,3km,Rs. 115M ONO   ,Colombo 3
182,House,3,4.0,4000 sq.ft.,1.0,,50 perches,"
Available now ",100m,,Rs. 20M ONO   ,Horana
183,House,3,2.0,1200 sq.ft.,,,,"
Available now ",,,Rs. 18.5M     ,Mawanella
184,House,5,3.0,2500 sq.ft.,2.0,4.0,21 perches,"
Available now ",50m,6km,Rs. 85M ONO   ,Pelawatte
185,House,4,3.0,4000 sq.ft.,3.0,2.0,10 perches,"
Available now ",200m,2km,Rs. 83M     ,Nawala
186,House,4,3.0,2900 sq.ft.,2.0,2.0,10 perches,"
Available now ",300m,1km,Rs. 39.5M     ,Maharagama
187,House,above 5,4.0,4000 sq.ft.,3.0,2.0,7 perches,"
Available now ",200m,200m,Rs. 55M upwards   ,Nawala
188,House,above 5,4.0,3800 sq.ft.,,4.0,18 perches,"
Available now ",,,Rs. 168M     ,Nawala
189,House,4,4.0,5000 sq.ft.,,,15 perches,"
Available now ",,,Rs. 140M     ,Nugegoda
190,House,5,4.0,,,4.0,16 perches,"
Available now ",,,Rs. 90M     ,Battaramulla
191,House,2,2.0,,,,10 perches,"
Available now ",,,Rs. 12M     ,Homagama
192,House,5,4.0,3750 sq.ft.,3.0,2.0,7 perches,"
Available now ",,,Rs. 35M ONO   ,Malabe
193,House,5,4.0,3750 sq.ft.,3.0,2.0,7 perches,"
Available now ",,,Rs. 35M ONO   ,Malabe
194,House,4,4.0,4000 sq.ft.,2.0,6.0,15 perches,"
Available now ",,,Rs. 52.5M ONO   ,Thalawathugoda
195,House,5,4.0,3800 sq.ft.,2.0,4.0,11 perches,"
Available now ",,,Rs. 45M ONO   ,Thalawathugoda
196,House,4,4.0,3300 sq.ft.,2.0,2.0,7.7 perches,"
Available now ",,,Rs. 42.5M ONO   ,Thalawathugoda
197,House,5,4.0,4500 sq.ft.,3.0,3.0,22 perches,"
Available now ",,,Rs. 115M ONO   ,Battaramulla
198,House,5,4.0,3350 sq.ft.,2.0,2.0,13.5 perches,"
Available now ",,,Rs. 96M ONO   ,Thalawathugoda
199,House,3,2.0,1750 sq.ft.,1.0,4.0,14 perches,"
Available now ",,,Rs. 49M ONO   ,Battaramulla
200,House,5,4.0,4000 sq.ft.,2.0,2.0,14 perches,"
Available now ",,,Rs. 75M ONO   ,Battaramulla
201,House,4,4.0,2800 sq.ft.,2.0,2.0,9 perches,"
Available now ",,,Rs. 27M ONO   ,Battaramulla
202,House,4,3.0,2700 sq.ft.,2.0,2.0,6 perches,"
Available now ",,,Rs. 38.5M ONO   ,Battaramulla
203,House,4,2.0,1700 sq.ft.,1.0,2.0,11 perches,"
Available now ",100m,,Rs. 19M ONO   ,Malabe
204,House,4,4.0,4000 sq.ft.,3.0,4.0,10 perches,"
Available now ",200m,3km,Rs. 100M ONO   ,Pita Kotte
205,House,5,3.0,2911 sq.ft.,2.0,1.0,14.6 perches,"
Available now ",,,Rs. 29.5M     ,Boralesgamuwa
206,House,3,3.0,2000 sq.ft.,2.0,3.0,7.5 perches,"
Available now ",,,Rs. 24.3M ONO   ,Kottawa
207,House,3,2.0,,1.0,2.0,11 perches,"
Available now ",,,Rs. 30M     ,Kohuwala
208,House,3,2.0,1350 sq.ft.,2.0,1.0,6.5 perches,"
Available now ",0.2km,7km,Rs. 26.5M ONO   ,Kottawa
209,House,5,3.0,3200 sq.ft.,2.0,4.0,,"
Available now ",400m,,Rs. 47M ONO   ,Kiribathgoda
210,House,4,3.0,3200 sq.ft.,2.0,4.0,20 perches,"
Available now ",,,Rs. 55M ONO   ,Battaramulla
211,House,3,2.0,2500 sq.ft.,1.0,1.0,9.12 perches,"
Available now ",300m,1km,Rs. 38M     ,Mount Lavinia
212,House,4,4.0,3000 sq.ft.,,2.0,17 perches,"
Available now ",,,Rs. 80M     ,Angoda
213,House,4,3.0,2500 sq.ft.,,1.0,9 perches,"
Available now ",,,Rs. 18M     ,Ja Ela
214,House,above 5,4.0,4000 sq.ft.,2.0,,16 perches,"
Available now ",,,Rs. 55M ONO   ,Mount Lavinia
215,House,5,3.0,2300 sq.ft.,,2.0,11.5 perches,"
Available now ",,,Rs. 58.5M     ,Pita Kotte
216,House,5,4.0,3500 sq.ft.,,4.0,11.16 perches,"
Available now ",,,Rs. 65M ONO   ,Dehiwala
217,House,above 5,5.0,3200 sq.ft.,,4.0,86 perches,"
Available now ",,,Rs. 86M     ,Biyagama
218,House,5,3.0,3012 sq.ft.,2.0,2.0,11.8 perches,"
Available now ",,,Rs. 65.6M     ,Ethul Kotte
219,House,4,3.0,1800 sq.ft.,2.0,1.0,15 perches,"
Available now ",,,Rs. 22.5M     ,Kandy
220,House,4,4.0,2750 sq.ft.,2.0,2.0,6.30 perches,"
Available now ",,,Rs. 27M     ,Malabe
221,House,3,1.0,1500 sq.ft.,1.0,2.0,14 perches,"
Available now ",,,Rs. 23M     ,Kandy
222,House,5,3.0,3250 sq.ft.,,2.0,10 perches,"
Available now ",,,Rs. 26M     ,Homagama
223,House,3,3.0,1800 sq.ft.,2.0,2.0,1800 perches,"
Available now ",,,Rs. 39M     ,Battaramulla
224,House,2,1.0,1250 sq.ft.,,1.0,10 perches,"
Available now ",,,Rs. 15M     ,Kirillawala
225,House,5,4.0,2100 sq.ft.,2.0,3.0,11.7 perches,"
Available now ",,,Rs. 54.5M     ,Ethul Kotte
226,House,4,4.0,,,,15 perches,"
Available now ",,,Rs. 27.5M     ,Kottawa
227,House,4,4.0,2800 sq.ft.,,,8 perches,"
Available now ",,,Rs. 26M     ,Kottawa
228,House,4,2.0,,,,12 perches,"
Available now ",,,Rs. 33M     ,Kottawa
229,House,4,2.0,,,,,"
Available now ",,,Rs. 32M     ,Gampaha
230,House,4,4.0,3800 sq.ft.,,,10 perches,"
Available now ",,,Rs. 34M     ,Kottawa
231,House,4,3.0,2600 sq.ft.,,,22 perches,"
Available now ",,,Rs. 35M     ,Kottawa
232,House,4,3.0,2400 sq.ft.,2.0,,,"
For Urgent Sale ",,,Rs. 45M     ,Thalapathpitiya
233,House,above 5,4.0,,2.0,,26 perches,"
For Urgent Sale ",,,Rs. 58M ONO   ,Nawinna
234,House,5,3.0,,2.0,,15 perches,"
For Urgent Sale ",,,Rs. 55M     ,Pannipitiya
235,House,5,3.0,,2.0,1.0,10 perches,"
For Urgent Sale ",,,Rs. 50M ONO   ,Maharagama
236,House,4,3.0,,2.0,,11.5 perches,"
For Urgent Sale ",,,Rs. 40M     ,Maharagama
